name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183171 631783000   -0.735524 -0.277642 1.612
anonymous:0 1603183171 641817000   -0.740679 -0.287033 1.59749
anonymous:0 1603183171 651931000   -0.745049 -0.296992 1.58091
anonymous:0 1603183171 661692000   -0.748752 -0.307594 1.56243
anonymous:0 1603183171 671882000   -0.752581 -0.318547 1.54226
anonymous:0 1603183171 681770000   -0.755569 -0.329995 1.52052
anonymous:0 1603183171 691664000   -0.757204 -0.342209 1.4972
anonymous:0 1603183171 701936000   -0.757712 -0.354976 1.47271
anonymous:0 1603183171 712066000   -0.756939 -0.368713 1.44737
anonymous:0 1603183171 721879000   -0.755216 -0.383289 1.42138
anonymous:0 1603183171 731910000   -0.752576 -0.398836 1.39589
anonymous:0 1603183171 741814000   -0.748744 -0.416019 1.37074
anonymous:0 1603183171 752027000   -0.743872 -0.435166 1.34629
anonymous:0 1603183171 832025000   -0.653704 -0.6353 1.19327
anonymous:0 1603183171 901719000   -0.459198 -0.801786 1.17536
anonymous:0 1603183171 911557000   -0.425796 -0.815834 1.18204
anonymous:0 1603183171 921911000   -0.394086 -0.824505 1.19015
anonymous:0 1603183171 931915000   -0.363818 -0.83094 1.19998
anonymous:0 1603183171 941846000   -0.335895 -0.834498 1.21144
anonymous:0 1603183171 951919000   -0.310319 -0.836112 1.22383
anonymous:0 1603183171 961860000   -0.28764 -0.83592 1.23693
anonymous:0 1603183171 971929000   -0.267798 -0.834385 1.25061
anonymous:0 1603183171 981847000   -0.251038 -0.83232 1.26462
anonymous:0 1603183171 991798000   -0.236796 -0.829645 1.27822
anonymous:0 1603183172 1830000   -0.225125 -0.827402 1.29142
anonymous:0 1603183172 12229000   -0.215595 -0.826045 1.30406
anonymous:0 1603183172 21736000   -0.207665 -0.825537 1.31575
anonymous:0 1603183172 31685000   -0.200575 -0.825923 1.32645
anonymous:0 1603183172 41632000   -0.19399 -0.827277 1.33607
anonymous:0 1603183172 51829000   -0.187817 -0.829368 1.34471
anonymous:0 1603183172 61626000   -0.181487 -0.831788 1.35257
anonymous:0 1603183172 71665000   -0.175245 -0.834501 1.35945
anonymous:0 1603183172 81763000   -0.168594 -0.837024 1.36541
anonymous:0 1603183172 91236000   -0.16175 -0.839672 1.37098
anonymous:0 1603183172 101814000   -0.154091 -0.842504 1.37612
anonymous:0 1603183172 112361000   -0.145669 -0.845276 1.38094
anonymous:0 1603183172 121825000   -0.136457 -0.848158 1.38556
anonymous:0 1603183172 132209000   -0.126667 -0.851456 1.39009
anonymous:0 1603183172 141474000   -0.116504 -0.855063 1.39474
anonymous:0 1603183172 151670000   -0.106063 -0.859105 1.3998
anonymous:0 1603183172 161410000   -0.095274 -0.863653 1.40527
anonymous:0 1603183172 171362000   -0.0842183 -0.868514 1.41115
anonymous:0 1603183172 181941000   -0.0726364 -0.873947 1.41758
anonymous:0 1603183172 191327000   -0.060026 -0.880075 1.42449
anonymous:0 1603183172 201324000   -0.0465363 -0.886855 1.43182
anonymous:0 1603183172 211582000   -0.0318345 -0.894171 1.43954
anonymous:0 1603183172 220570000   -0.0161185 -0.902218 1.44768
