name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603182861 147344000   -0.262573 1.5155 0.890646
anonymous:0 1603182861 157565000   -0.262439 1.51548 0.89042
anonymous:0 1603182861 167346000   -0.262245 1.51533 0.890232
anonymous:0 1603182861 177576000   -0.262527 1.51544 0.890032
anonymous:0 1603182861 187292000   -0.26202 1.51518 0.890152
anonymous:0 1603182861 197105000   -0.262042 1.51517 0.890223
anonymous:0 1603182861 207742000   -0.26184 1.5151 0.890371
anonymous:0 1603182861 217339000   -0.261618 1.51492 0.890309
anonymous:0 1603182861 227438000   -0.26123 1.51472 0.890323
anonymous:0 1603182861 237666000   -0.260844 1.51448 0.890425
anonymous:0 1603182861 247412000   -0.260618 1.51434 0.890554
anonymous:0 1603182861 257625000   -0.260607 1.51418 0.890411
anonymous:0 1603182861 267550000   -0.260538 1.514 0.890619
anonymous:0 1603182861 277840000   -0.260729 1.51407 0.890804
anonymous:0 1603182861 287339000   -0.260821 1.5139 0.890877
anonymous:0 1603182861 297465000   -0.260614 1.5136 0.890894
anonymous:0 1603182861 307762000   -0.260817 1.51352 0.891038
anonymous:0 1603182861 317545000   -0.261144 1.51347 0.891215
anonymous:0 1603182861 327036000   -0.26118 1.51314 0.891247
anonymous:0 1603182861 337544000   -0.261581 1.51313 0.891413
anonymous:0 1603182861 347483000   -0.261729 1.51291 0.89156
anonymous:0 1603182861 357306000   -0.262095 1.51289 0.891721
anonymous:0 1603182861 367399000   -0.262931 1.51312 0.891736
anonymous:0 1603182861 377439000   -0.26293 1.51282 0.892112
anonymous:0 1603182861 387325000   -0.263748 1.51296 0.89237
anonymous:0 1603182861 397886000   -0.264131 1.51294 0.892586
anonymous:0 1603182861 407564000   -0.264392 1.51299 0.892771
anonymous:0 1603182861 417658000   -0.265241 1.5132 0.892892
anonymous:0 1603182861 427411000   -0.257914 1.51162 0.896283
anonymous:0 1603182861 437359000   -0.266034 1.51355 0.893043
anonymous:0 1603182861 447618000   -0.266582 1.51354 0.89332
anonymous:0 1603182861 457591000   -0.266826 1.51332 0.893789
anonymous:0 1603182861 467465000   -0.267219 1.51316 0.893894
anonymous:0 1603182861 477539000   -0.260879 1.51161 0.897668
anonymous:0 1603182861 487305000   -0.268638 1.51325 0.894636
anonymous:0 1603182861 497464000   -0.269595 1.5134 0.894762
anonymous:0 1603182861 507670000   -0.270314 1.51331 0.895181
anonymous:0 1603182861 517629000   -0.270817 1.51314 0.895562
anonymous:0 1603182861 527647000   -0.271646 1.51301 0.8957
anonymous:0 1603182861 537199000   -0.27225 1.51285 0.896106
anonymous:0 1603182861 546497000   -0.27272 1.51259 0.896545
anonymous:0 1603182861 556406000   -0.266174 1.51069 0.899734
anonymous:0 1603182861 565823000   -0.273921 1.51211 0.896695
anonymous:0 1603182861 576105000   -0.274964 1.51202 0.896783
anonymous:0 1603182861 586038000   -0.275618 1.51168 0.897046
anonymous:0 1603182861 596231000   -0.276185 1.51129 0.897485
anonymous:0 1603182861 607581000   -0.276733 1.51075 0.897647
anonymous:0 1603182861 616701000   -0.277582 1.51027 0.898095
anonymous:0 1603182861 627237000   -0.278283 1.50965 0.898142
anonymous:0 1603182861 636729000   -0.278913 1.50905 0.898817
anonymous:0 1603182861 646979000   -0.279352 1.50837 0.899229
anonymous:0 1603182861 657192000   -0.279705 1.50745 0.89949
anonymous:0 1603182861 666878000   -0.280695 1.5069 0.900059
anonymous:0 1603182861 676995000   -0.280962 1.5059 0.900231
anonymous:0 1603182861 686863000   -0.281556 1.50486 0.900822
anonymous:0 1603182861 696925000   -0.282544 1.50395 0.901246
anonymous:0 1603182861 707516000   -0.282988 1.50266 0.901724
anonymous:0 1603182861 717517000   -0.283575 1.50145 0.902255
anonymous:0 1603182861 727460000   -0.284184 1.5005 0.902894
anonymous:0 1603182861 737586000   -0.284148 1.49915 0.903526
anonymous:0 1603182861 747489000   -0.284389 1.49787 0.904022
anonymous:0 1603182861 757788000   -0.284956 1.49676 0.90476
anonymous:0 1603182861 767243000   -0.285076 1.49521 0.905305
anonymous:0 1603182861 777454000   -0.285579 1.4937 0.906032
anonymous:0 1603182861 787172000   -0.28605 1.49228 0.907196
anonymous:0 1603182861 797183000   -0.286399 1.49073 0.907452
anonymous:0 1603182861 807766000   -0.27927 1.48749 0.911473
anonymous:0 1603182861 817608000   -0.286981 1.48754 0.90911
anonymous:0 1603182861 827397000   -0.287549 1.48575 0.909896
anonymous:0 1603182861 837119000   -0.28806 1.48387 0.910819
anonymous:0 1603182861 847701000   -0.288624 1.48202 0.911572
anonymous:0 1603182861 857720000   -0.289365 1.48 0.912498
anonymous:0 1603182861 867390000   -0.289959 1.47804 0.913715
anonymous:0 1603182861 877364000   -0.29026 1.47583 0.914664
anonymous:0 1603182861 887211000   -0.290633 1.47345 0.915938
anonymous:0 1603182861 897215000   -0.291454 1.47097 0.917208
anonymous:0 1603182861 907251000   -0.292191 1.4686 0.918252
anonymous:0 1603182861 916937000   -0.293173 1.46615 0.91964
anonymous:0 1603182861 927160000   -0.293743 1.4634 0.921516
anonymous:0 1603182861 937157000   -0.295017 1.46034 0.922992
anonymous:0 1603182861 947341000   -0.296146 1.45752 0.924468
anonymous:0 1603182861 957609000   -0.297265 1.45463 0.92648
anonymous:0 1603182861 967552000   -0.298359 1.45116 0.928636
anonymous:0 1603182861 977799000   -0.299375 1.44789 0.93095
anonymous:0 1603182861 987492000   -0.294152 1.4431 0.936697
anonymous:0 1603182861 997473000   -0.301982 1.44055 0.935967
anonymous:0 1603182862 7876000   -0.304099 1.43687 0.938881
anonymous:0 1603182862 17081000   -0.305792 1.43287 0.941966
anonymous:0 1603182862 27333000   -0.30858 1.42907 0.945035
anonymous:0 1603182862 37940000   -0.311057 1.42503 0.948358
anonymous:0 1603182862 47432000   -0.313154 1.42078 0.951654
anonymous:0 1603182862 58018000   -0.315422 1.41619 0.95538
anonymous:0 1603182862 67058000   -0.318088 1.41203 0.959588
anonymous:0 1603182862 77478000   -0.320463 1.40721 0.963778
anonymous:0 1603182862 87364000   -0.322964 1.40232 0.96814
anonymous:0 1603182862 97416000   -0.326773 1.39758 0.972717
anonymous:0 1603182862 107694000   -0.328926 1.3924 0.977831
anonymous:0 1603182862 117993000   -0.332484 1.38739 0.982587
anonymous:0 1603182862 127379000   -0.335992 1.3827 0.987982
anonymous:0 1603182862 137542000   -0.339334 1.37726 0.993032
anonymous:0 1603182862 147087000   -0.341651 1.37205 0.998999
anonymous:0 1603182862 157572000   -0.345627 1.3669 1.00445
anonymous:0 1603182862 167438000   -0.348961 1.36117 1.01074
anonymous:0 1603182862 177701000   -0.351958 1.35611 1.0173
anonymous:0 1603182862 186983000   -0.355052 1.35057 1.02356
anonymous:0 1603182862 196999000   -0.358512 1.3452 1.03064
anonymous:0 1603182862 207161000   -0.361777 1.33967 1.03726
anonymous:0 1603182862 216207000   -0.365082 1.33442 1.04441
anonymous:0 1603182862 225843000   -0.367733 1.32887 1.05157
anonymous:0 1603182862 235708000   -0.370581 1.32354 1.05935
anonymous:0 1603182862 245766000   -0.373694 1.31773 1.06696
anonymous:0 1603182862 255418000   -0.37718 1.31243 1.07462
anonymous:0 1603182862 265363000   -0.371398 1.30643 1.08575
anonymous:0 1603182862 275682000   -0.38255 1.30218 1.09017
anonymous:0 1603182862 285546000   -0.384634 1.2967 1.09862
anonymous:0 1603182862 295642000   -0.387863 1.29182 1.10691
anonymous:0 1603182862 307699000   -0.390267 1.2866 1.11532
anonymous:0 1603182862 317063000   -0.392352 1.28143 1.12379
anonymous:0 1603182862 326656000   -0.39509 1.2763 1.13255
anonymous:0 1603182862 337002000   -0.396496 1.27097 1.14143
anonymous:0 1603182862 347020000   -0.398188 1.26573 1.15017
anonymous:0 1603182862 357532000   -0.400665 1.26063 1.15894
anonymous:0 1603182862 367098000   -0.402623 1.2559 1.1675
anonymous:0 1603182862 377406000   -0.404304 1.25123 1.17654
anonymous:0 1603182862 386988000   -0.405167 1.24594 1.1854
anonymous:0 1603182862 397312000   -0.406289 1.2414 1.19442
anonymous:0 1603182862 407688000   -0.407947 1.23693 1.20332
