name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183010 368916000   -0.0883456 1.3894 0.875623
anonymous:0 1603183010 379345000   -0.0881574 1.38896 0.875358
anonymous:0 1603183010 389480000   -0.0879098 1.38863 0.875792
anonymous:0 1603183010 399395000   -0.0878095 1.38811 0.875531
anonymous:0 1603183010 409246000   -0.0875915 1.3877 0.875766
anonymous:0 1603183010 418680000   -0.0875593 1.38724 0.875653
anonymous:0 1603183010 428991000   -0.0870993 1.38659 0.875942
anonymous:0 1603183010 439396000   -0.0867008 1.38594 0.876343
anonymous:0 1603183010 449165000   -0.0863104 1.38513 0.876592
anonymous:0 1603183010 459352000   -0.0862475 1.38447 0.876681
anonymous:0 1603183010 469517000   -0.0862997 1.38388 0.876801
anonymous:0 1603183010 479031000   -0.0860674 1.38314 0.876876
anonymous:0 1603183010 488425000   -0.0854929 1.38207 0.877196
anonymous:0 1603183010 498259000   -0.0849361 1.381 0.877491
anonymous:0 1603183010 507764000   -0.0849324 1.38028 0.877749
anonymous:0 1603183010 517942000   -0.0848929 1.37942 0.877858
anonymous:0 1603183010 527342000   -0.0844431 1.37828 0.878179
anonymous:0 1603183010 537449000   -0.0843174 1.37721 0.878363
anonymous:0 1603183010 547840000   -0.0840068 1.37619 0.878716
anonymous:0 1603183010 557914000   -0.0840389 1.3752 0.878775
anonymous:0 1603183010 568342000   -0.084166 1.3742 0.878671
anonymous:0 1603183010 579092000   -0.0834311 1.37277 0.878969
anonymous:0 1603183010 589331000   -0.083388 1.37173 0.879086
anonymous:0 1603183010 599469000   -0.083311 1.37073 0.879163
anonymous:0 1603183010 609332000   -0.0827641 1.36943 0.879283
anonymous:0 1603183010 619304000   -0.0827257 1.3684 0.879444
anonymous:0 1603183010 629878000   -0.0825303 1.36726 0.879685
anonymous:0 1603183010 639660000   -0.0819889 1.36598 0.879989
anonymous:0 1603183010 649688000   -0.0819026 1.36504 0.880112
anonymous:0 1603183010 659231000   -0.0740459 1.36244 0.883355
anonymous:0 1603183010 669542000   -0.0736507 1.36115 0.883539
anonymous:0 1603183010 679287000   -0.0807444 1.36155 0.880652
anonymous:0 1603183010 689416000   -0.0804084 1.36038 0.880793
anonymous:0 1603183010 699483000   -0.0803697 1.35939 0.880889
anonymous:0 1603183010 709651000   -0.0800997 1.35832 0.881176
anonymous:0 1603183010 719269000   -0.0799347 1.3573 0.88132
anonymous:0 1603183010 729591000   -0.0796407 1.35621 0.88145
anonymous:0 1603183010 739385000   -0.0794532 1.35522 0.88154
anonymous:0 1603183010 749545000   -0.0784658 1.35384 0.881672
anonymous:0 1603183010 759583000   -0.0783326 1.35287 0.881843
anonymous:0 1603183010 769883000   -0.0778057 1.35179 0.882058
anonymous:0 1603183010 779262000   -0.0776989 1.35098 0.882129
anonymous:0 1603183010 789202000   -0.0776804 1.35013 0.882148
anonymous:0 1603183010 799203000   -0.0776154 1.34949 0.882177
anonymous:0 1603183010 809152000   -0.0773707 1.34869 0.882131
anonymous:0 1603183010 819393000   -0.0772528 1.34792 0.881924
anonymous:0 1603183010 828934000   -0.0768223 1.34706 0.881987
anonymous:0 1603183010 839284000   -0.0759987 1.34608 0.881926
anonymous:0 1603183010 849282000   -0.0759676 1.3455 0.882018
anonymous:0 1603183010 859327000   -0.0758435 1.34498 0.881708
anonymous:0 1603183010 869367000   -0.0755695 1.34435 0.881556
anonymous:0 1603183010 879200000   -0.0752936 1.34368 0.88156
anonymous:0 1603183010 889471000   -0.0750585 1.34321 0.881596
anonymous:0 1603183010 898973000   -0.0750897 1.34285 0.881544
anonymous:0 1603183010 909350000   -0.074876 1.34229 0.881383
anonymous:0 1603183010 919312000   -0.0747504 1.34191 0.881196
anonymous:0 1603183010 929259000   -0.0744947 1.34152 0.881253
anonymous:0 1603183010 939275000   -0.0743171 1.34115 0.881163
anonymous:0 1603183010 949450000   -0.0741613 1.34068 0.881028
anonymous:0 1603183010 959077000   -0.0736409 1.34003 0.880918
anonymous:0 1603183010 969457000   -0.0734445 1.33961 0.880691
anonymous:0 1603183010 979258000   -0.073178 1.33924 0.880579
anonymous:0 1603183010 988976000   -0.0729956 1.33888 0.880589
anonymous:0 1603183010 999068000   -0.0731256 1.33866 0.88043
