name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183099 510627000   -0.442687 0.981099 1.46266
anonymous:0 1603183099 520760000   -0.439362 0.979131 1.46308
anonymous:0 1603183099 530574000   -0.435638 0.977295 1.46331
anonymous:0 1603183099 540359000   -0.431737 0.975493 1.46348
anonymous:0 1603183099 550152000   -0.427901 0.973723 1.46343
anonymous:0 1603183099 560805000   -0.423664 0.971719 1.46327
anonymous:0 1603183099 570410000   -0.41928 0.969667 1.46299
anonymous:0 1603183099 580550000   -0.414664 0.967791 1.46256
anonymous:0 1603183099 590555000   -0.410083 0.965722 1.46187
anonymous:0 1603183099 600990000   -0.405455 0.96369 1.46118
anonymous:0 1603183099 610715000   -0.400688 0.961668 1.46048
anonymous:0 1603183099 620560000   -0.395966 0.959477 1.45975
anonymous:0 1603183099 630490000   -0.391283 0.957222 1.45901
anonymous:0 1603183099 640588000   -0.386559 0.95478 1.45811
anonymous:0 1603183099 650759000   -0.381822 0.952244 1.45703
anonymous:0 1603183099 660771000   -0.376825 0.94977 1.45601
anonymous:0 1603183099 671018000   -0.371634 0.947181 1.4551
anonymous:0 1603183099 680862000   -0.366421 0.944407 1.45395
anonymous:0 1603183099 690723000   -0.361202 0.941622 1.45277
anonymous:0 1603183099 700900000   -0.355819 0.938697 1.45163
anonymous:0 1603183099 710666000   -0.35024 0.935748 1.45038
anonymous:0 1603183099 721200000   -0.344824 0.932784 1.44894
anonymous:0 1603183099 730503000   -0.339145 0.929776 1.44765
anonymous:0 1603183099 740533000   -0.333144 0.926634 1.44638
anonymous:0 1603183099 750593000   -0.326911 0.923417 1.44515
anonymous:0 1603183099 760775000   -0.321011 0.919914 1.44394
anonymous:0 1603183099 771231000   -0.314769 0.916528 1.44279
anonymous:0 1603183099 780871000   -0.307984 0.913295 1.44159
anonymous:0 1603183099 790642000   -0.301541 0.90997 1.44042
anonymous:0 1603183099 800778000   -0.294449 0.906795 1.43936
anonymous:0 1603183099 810778000   -0.287616 0.903637 1.43829
anonymous:0 1603183099 820963000   -0.280514 0.900667 1.43742
anonymous:0 1603183099 830677000   -0.273308 0.897353 1.43657
anonymous:0 1603183099 840641000   -0.265968 0.894412 1.43582
anonymous:0 1603183099 850672000   -0.258563 0.891145 1.43518
anonymous:0 1603183099 860657000   -0.251114 0.8879 1.43479
anonymous:0 1603183099 870851000   -0.243354 0.88471 1.43458
anonymous:0 1603183099 880759000   -0.235729 0.881428 1.43449
anonymous:0 1603183099 890635000   -0.229338 0.878298 1.43477
anonymous:0 1603183099 900417000   -0.219249 0.875115 1.43485
anonymous:0 1603183099 910753000   -0.211502 0.872088 1.43522
anonymous:0 1603183099 960833000   -0.171956 0.858454 1.43875
anonymous:0 1603183099 970907000   -0.164123 0.855886 1.43982
anonymous:0 1603183100 500000   -0.140746 0.848484 1.44338
anonymous:0 1603183100 320602000   0.0553059 0.809893 1.49946
anonymous:0 1603183100 330976000   0.0573577 0.809068 1.50104
anonymous:0 1603183100 341026000   0.0593458 0.808414 1.5025
anonymous:0 1603183100 350483000   0.0613493 0.807919 1.50387
anonymous:0 1603183100 359772000   0.0632772 0.807454 1.505
anonymous:0 1603183100 369748000   0.0653946 0.807034 1.50599
anonymous:0 1603183100 379138000   0.0556211 0.80602 1.50582
anonymous:0 1603183100 389416000   0.0678384 0.805726 1.50756
anonymous:0 1603183100 398970000   0.0585289 0.804394 1.50673
anonymous:0 1603183100 409080000   0.0694957 0.80397 1.50849
anonymous:0 1603183100 419065000   0.0699062 0.802887 1.50874
anonymous:0 1603183100 429595000   0.0701191 0.801598 1.50884
anonymous:0 1603183100 439410000   0.0700061 0.800365 1.50886
